[Header]\r\n[Footer]\r\n[Header]\r\n2010-02-20 22:10:21,137 [1] INFO  PDFv2.connect Closed
2010-02-20 22:10:21,167 [1] INFO  PDFv2.connect zatvoreno
[Header]\r\n[Footer]\r\n[Header]\r\n2010-02-20 22:12:32,296 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:12:32,326 [1] INFO  PDFv2.connect Closed
2010-02-20 22:12:32,336 [1] INFO  PDFv2.connect Dispose
2010-02-20 22:12:32,336 [1] INFO  PDFv2.connect Closed
2010-02-20 22:12:48,479 [1] INFO  PDFv2.connect Dispose
2010-02-20 22:12:48,479 [1] INFO  PDFv2.connect Closed
2010-02-20 22:12:49,620 [1] INFO  PDFv2.connect Dispose
2010-02-20 22:12:49,620 [1] INFO  PDFv2.connect Closed
2010-02-20 22:12:51,243 [1] INFO  PDFv2.connect Dispose
2010-02-20 22:12:51,243 [1] INFO  PDFv2.connect Closed
[Header]\r\n[Footer]\r\n[Header]\r\n2010-02-20 22:13:50,137 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:13:50,188 [1] INFO  PDFv2.connect Closed
2010-02-20 22:13:50,188 [1] INFO  PDFv2.connect ZATVORENO
2010-02-20 22:13:50,188 [1] INFO  PDFv2.connect Closed
[Footer]\r\n[Header]\r\n[Footer]\r\n[Header]\r\n2010-02-20 22:24:44,528 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:24:44,619 [1] INFO  PDFv2.connect Closed
2010-02-20 22:24:44,629 [1] INFO  PDFv2.connect ZATVORENO
2010-02-20 22:24:44,629 [1] INFO  PDFv2.connect Closed
[Footer]\r\n[Header]\r\n[Footer]\r\n[Header]\r\n2010-02-20 22:24:53,281 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:24:53,321 [1] INFO  PDFv2.connect Closed
2010-02-20 22:24:53,321 [1] INFO  PDFv2.connect ZATVORENO
2010-02-20 22:24:53,321 [1] INFO  PDFv2.connect Closed
2010-02-20 22:24:58,489 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:24:58,489 [1] INFO  PDFv2.connect Closed
